collateralAmount,collateralReserve,pool,principalAmount,principalReserve,timestamp,user,type,priceUSDTCollateral,reservePriceETHPrincipal,reservePriceUSDPrincipal,reservePriceETHCollateral,reservePriceUSDCollateral,amountUSDPincipal,amountUSDCollateral
117934255376358682010,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1586844824,USDC,1626698154,0xf41aad88378a5236fe76a7a92e5c87193dc4beec,liquidation,544900000000000,544804546953723.0,0.9998248246535566,8063580000000000.0,14.798274912828042,1586566847.9082038,1.7452235326990244e+21
4280141963213341,YFI,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,140476456,USDC,1623388180,0xe8b695111350b37a7692b91abe9e64c0ed876dca,liquidation,406439062024180,403305565419113.0,0.9922903655237729,1.52222e+19,37452.600948809384,139393433.87172422,1.6030244895248282e+20
702408945278406934,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1858892927,USDC,1621535861,0x348fe601cbad546711b1301dd8a5cc470e6592a8,liquidation,361138722155055,359870593162545.0,0.9964885266665878,,,1852365474.057171,
311378634203454193035,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,4237848822,USDC,1626697171,0x1a1f57fb64f29ae0a1bbd16e5d7461db231b4041,liquidation,538649111547030,538615147931530.0,0.9999369466786969,8063580000000000.0,14.970005198450904,4237581611.5565925,4.6613397727122513e+21
643654825495703896357,UNI,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,14502557871,USDC,1621460436,0xa4bd7a75a5210de3f7494327b75bcd57a6c45514,liquidation,397400000000000,397962838973430.0,1.0014163034057122,9863403118437368.0,24.819836734870076,14523097893.104235,1.5975407682414658e+22
12155077,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,5192016828136680780539,DAI,1614305677,0xc65ee4f20226ff0f7aa546a368036e640c57d3be,liquidation,680338650142025,678063178150872.0,0.9966553833290553,3.1859664927285527e+19,46829.12681887854,5.174651522097469e+21,569211642326.2338
33032749672618190250,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,50361000493,USDC,1616618013,0x01acb3804ba9c42111c6e9c127831eb486ca1ac7,liquidation,624380000000000,624685000000000.0,1.0004884845767001,,,50385601065.00802,
187629014381288464698,UNI,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2791381028221995793971,BUSD,1624313168,0xc8e2a06246fc939a32c7c133d87acec43e4273f8,liquidation,530600000000000,529244347356893.0,0.997445057212388,8661000000000000.0,16.323030531473805,2.7842492093964626e+21,3.062674130336109e+21
334596132121,USDC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,315394915393,USDT,1624477350,0xa019a71f73922f5170031f99efc37f31d3020f0b,liquidation,514173133808794,514173133808794.0,0.9999999999999999,508900000000000.0,0.9897444392519447,315394915392.99994,331164661161.96875
412171938705720862,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,816270957640378382124,DAI,1621812513,0xb95d9a1366f8997ecbfa65b8a80ad534a1fbf94b,liquidation,476627170705620,480900000000000.0,1.0089647203453682,,,8.235885985016703e+20,
15375415705651430727,MKR,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,27854076117,USDC,1621774537,0xa46b588bca36b31ebe877f0cb704eab58b067b3d,liquidation,511222899870666,519200000000000.0,1.0156039569654491,1.03463999e+18,2023.8529812763727,28288709922.04201,3.111758091424621e+22
348712217608349621,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,699687491,USDC,1624187340,0x230d08aac2119ae9ae662703aefe2c953b0ff72e,liquidation,476850000000000,474650294859586.0,0.9953870081987753,,,696459838.3405975,
21805896883623376696,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,42802240112,USDC,1624190923,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,liquidation,481820000000000,485197054808440.0,1.0070089552290067,,,43102239096.6462,
41269739315790959703,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,48032876558808040000000,DAI,1611758264,0x2c4ef3a24b1f38d848283c65b05b00987ee43fd8,liquidation,817810000000000,818897136926100.0,1.0013293270149546,,,4.809672795922364e+22,
1007205483702025210,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,257359981,USDC,1623460932,0xffe51aee8dfb10141bb9c8ae1a39d1dba6168eca,liquidation,428100000000000,426330000000000.0,0.995865451997197,1.198288837011624e+17,279.9086281269853,256295913.80455503,2.8192550518501055e+20
18505189531262216708,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,3339429859,USDC,1624353414,0x59fed4c589566dca212dcdd77a5ac98812445cdf,liquidation,534056988119560,530968964749380.0,0.9942178017723295,1.0540000000000002e+17,197.35721532475108,3320120613.5878606,3.652132674946647e+21
284428128717736972,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,570041944680409195875,DAI,1621814008,0x9993c65221dfb6cd386545500c4c26d2a875b914,liquidation,476627170705620,475200000000000.0,0.9970056874778935,,,5.683350609473267e+20,
1831294145778765793,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2947591114832590186327,BUSD,1616993795,0x3150c2beb428803af86f587004ba113ebe3c7da4,liquidation,591710000000000,591700000000000.0,0.9999830998293083,,,2.9475413000396205e+21,
510959866880494783500,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1508130426281,USDT,1621393339,0x499cab25994e3e7ba837630547c7a579b2397551,liquidation,322670000000000,322670000000000.0,1.0,,,1508130426281.0,
55053134516040467977,UNI,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1038966376,USDC,1621701541,0x3e0ab0f1daadd7adcc411b717ab01cfa5ed1d65e,liquidation,423046394878189,423300000000000.0,1.0005994735444657,8787400000000000.0,20.771717018248612,1039589208.8560014,1.1435481311347679e+21
7162022352859726602,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,107056967990779832159,DAI,1624750789,0x5b190081692160a89757db0a8aab208bdacbec3d,liquidation,558109805859950,564080000000000.0,1.0106971676135506,9274973000906526.0,16.61854513847039,1.0820217432157572e+20,1.190223917537333e+20
22957206199201815436322,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,323593397700,USDT,1624366015,0xc71f2a44b47ab39071909766d01535ce12e96b19,liquidation,564400000000000,564400000000000.0,1.0,8751052862654209.0,15.505054682236374,323593397700.0,3.5595273747e+23
10636426424717432085,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,22541511667599003699180,DAI,1621631222,0xe89a17c24a7f2c4dc2e5b52e6f6669b675170eed,liquidation,448710000000000,449390000000000.0,1.0015154554166388,,,2.257567232355489e+22,
9730960957092415217,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,161298014095457119113,TUSD,1624470463,0x0962133684a7f442ed94bb2c56852ea5229303c0,liquidation,503261985851111,505648531913560.0,1.0047421544435011,9219656190825124.0,18.31979456034802,1.620629141897278e+20,1.7826920560870058e+20
864573878380477707,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2254418173517941776446,DAI,1621534414,0xda874f844389df33c0fad140df4970fe1b366726,liquidation,365260482947721,365240000000000.0,0.9999439223549296,,,2.2542917510557668e+21,
