borrowRateModeFrom,borrowRateModeTo,pool,reserve,stableBorrowRate,timestamp,user,variableBorrowRate,type
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,37.909838159710105,1610387461,0x6264b7f05facadaf24b71a96e1df3f46a654b799,32.9098381597101,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.932725268778697,1613787799,0xeb951ebeed6f03aa0ff637205eaeb93c0ab5713a,3.8654505375573947,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,10.557929561354317,1611223699,0xf3edbde6fdf7389021672f61dd79cb904aa36392,5.557929561354318,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.940388009170107,1614420628,0x18a17e923c921e29b06ad0f082e396c88794aa11,3.8807760183402116,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.982423230735513,1622301231,0xdca51787f58c18fb8f613a27b84b108324ac4c52,3.9648464614710286,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.02749404098564,1611194090,0x7b157ba7ae20ad8e677a2ae8bba99189da363ac5,6.0274940409856415,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,LINK,3.1556777896547232,1610372691,0x1ba177cdd00a459508ccdd88d5530202a2e202db,0.1089744527583061,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.563759194064602,1623010160,0x139ecbbd170e264d9d0a7968d030f6eb5059cee6,3.1275183881292024,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,25.937733837159016,1619652281,0xfa775d4cfb033b912bb0136fe3ba2b6e379e478a,17.937733837159016,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.987094032137712,1621448533,0xf19c705a938b549dc9c21de29ac36d6fe29b06c2,3.974188064275423,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,8.576872769662899,1610783037,0x68f593572402632c724bc2d2fca05e91541269f3,3.1537455393257945,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.825738008491486,1609559856,0x7b157ba7ae20ad8e677a2ae8bba99189da363ac5,3.6514760169829756,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.933134432993622,1610817299,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889,3.8662688659872435,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,8.961936202726939,1612419463,0xc17905420d885c1967c9bbae432a518480f58cca,3.92387240545388,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.990947371272004,1617309960,0x81af65b26c646bc068dd0fb8e12ce67be9270c05,3.981894742544005,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.950517507683013,1619562515,0xc72aed14386158960d0e93fecb83642e68482e4b,3.901035015366028,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.02749279693694,1611194081,0xaa2d47dccec3828205801670c6b003d4957f0d75,6.02749279693694,swap
