date,LINK_deposited,WBTC_borrowed,WETH_deposited,WBTC_deposited,USDC_borrowed,UNI_deposited,YFI_deposited,ZRX_deposited,DAI_borrowed,USDT_borrowed,user
2021-02-11,390.8461629758276,3.880416966840421e-07,13.530490293012095,0.3719148628717795,22596.40963644383,142.1537449409487,0.031231518953676884,1741.6501976113998,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-12,390.84628897756494,3.8804818397921097e-07,13.530569338698747,0.3719154718461702,22601.93866496209,142.15406163756876,0.031231541510104224,1741.6524229786564,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-13,390.84641214943133,3.880546706373339e-07,13.53064333265757,0.37191608258557696,22607.469046391037,142.15440922993088,0.03123156361728764,1741.653726113217,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-14,390.84651165340296,3.880611772829471e-07,13.530726643648396,0.3719166950333711,34616.2021820212,142.15495177007082,0.031231582198486287,1741.6550417679841,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-15,390.8465849538265,3.8806743932123024e-07,13.530831638682658,0.499917475122761,34624.93752530492,142.15565373462468,0.031231600375348004,1741.656452653185,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-16,390.84663954612057,3.880738225769432e-07,13.530949896094162,0.49991824237964044,34633.675076801264,142.15641209378572,0.031231618977508466,1741.658019128789,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-17,390.846692972119,3.880805217575519e-07,13.531027108321096,0.4999190826961495,34642.41483706945,142.1568996424933,0.031231646312815962,1741.6593902418824,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-18,390.8467462745411,3.8808759289553594e-07,13.531099476970116,0.49991990760783367,34651.156806668834,142.15714986233374,0.031231658449084147,1741.6606794466622,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-19,390.84690266316716,3.880949141518418e-07,13.531165799932293,0.49992075131383257,34659.90098615891,142.15742191458511,0.03123167158437808,1741.6619906931853,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-20,390.84705766007517,3.881020052198836e-07,13.531236424463222,0.49992156339063526,34668.64737609931,142.1576309677947,0.031231680079989596,1741.6632844900828,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-21,390.84720835356563,3.881098203724825e-07,13.53132178080955,0.49992245099974064,34677.395977049826,142.15773075634613,0.03123169353223478,1741.6645623192464,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
